Department,Districts,Monthregister,Fund,Rangeincome,Register
SMA-IPA,KABUPATEN KAPUAS HULU,April,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,April,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,April,ORANG TUA,2.000.001 - 3.000.000,Y
STM-MESIN,KOTA PONTIANAK,April,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KOTA SINGKAWANG,April,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN MEMPAWAH,April,BEASISWA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,April,ORANG TUA,500.001 - 1.000.000,N
SMK-MEKANIK,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN MELAWI,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN MELAWI,April,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,April,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,April,ORANG TUA,> 5.000.000,N
SMA-IPA,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,N
MA IPS,KOTA PONTIANAK,April,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,April,ORANG TUA,< 500.000,N
MA IPS,KABUPATEN MEMPAWAH,April,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SAMBAS,April,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,April,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,April,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPS,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SEKADAU,April,ORANG TUA,500.001 - 1.000.000,N
MA IPA,KABUPATEN MELAWI,April,ORANG TUA,500.001 - 1.000.000,N
SMK Perkantoran,KABUPATEN KUBU RAYA,April,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KOTA PONTIANAK,April,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KOTA SINGKAWANG,April,BEASISWA,1.500.001 - 2.000.000,N
MA IPA,KABUPATEN SANGGAU,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN LANDAK,April,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,April,ORANG TUA,500.001 - 1.000.000,N
SMK AKUNTANSI,KABUPATEN KUBU RAYA,April,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA PONTIANAK,April,ORANG TUA,1.000.001 - 1.500.000,N
SMK AKUNTANSI,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN LANDAK,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SEKADAU,April,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KAYONG UTARA,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,April,BEASISWA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,April,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA SINGKAWANG,April,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SAMBAS,April,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SANGGAU,April,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,April,ORANG TUA,1.000.001 - 1.500.000,N
SMK INFORMATIKA,KABUPATEN LANDAK,April,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN LANDAK,April,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN LANDAK,April,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,April,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA SINGKAWANG,April,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KETAPANG,April,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KETAPANG,April,ORANG TUA,1.500.001 - 2.000.000,Y
SMK AKUNTANSI,KABUPATEN KETAPANG,April,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,Y
PAKET C,KABUPATEN MELAWI,April,ORANG TUA,> 5.000.000,N
SMK BISNIS MANAJEMEN,KABUPATEN SINTANG,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SEKADAU,April,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SINTANG,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,April,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,April,ORANG TUA,< 500.000,Y
SMA AGAMA,KOTA SINGKAWANG,April,BEASISWA,1.000.001 - 1.500.000,N
SMA AGAMA,KABUPATEN MEMPAWAH,April,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN SINTANG,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMKA,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,April,ORANG TUA,> 5.000.000,Y
MA AGAMA,KOTA SINGKAWANG,April,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,April,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA SINGKAWANG,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SINTANG,April,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN LANDAK,April,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN BENGKAYANG,April,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,April,ORANG TUA,1.500.001 - 2.000.000,N
MA AGAMA,KOTA SINGKAWANG,April,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SAMBAS,April,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SINTANG,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,Y
SPK KEPERAWATAN,KOTA PONTIANAK,April,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,April,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SEKADAU,April,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA PONTIANAK,April,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN MELAWI,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN LANDAK,May,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN LANDAK,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,May,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN MEMPAWAH,May,ORANG TUA,1.500.001 - 2.000.000,Y
STM-PERIKANAN,KABUPATEN KUBU RAYA,May,ORANG TUA,1.500.001 - 2.000.000,N
SMA-BAHASA,KABUPATEN BENGKAYANG,May,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN LANDAK,May,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,May,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SINTANG,May,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,May,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN SAMBAS,May,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SAMBAS,May,ORANG TUA,> 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN BENGKAYANG,May,ORANG TUA,1.000.001 - 1.500.000,N
SMK AKUNTANSI,KABUPATEN BENGKAYANG,May,ORANG TUA,2.000.001 - 3.000.000,N
SMK INFORMATIKA,KOTA PONTIANAK,May,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,May,ORANG TUA,1.000.001 - 1.500.000,Y
SMK AKUNTANSI,KOTA PONTIANAK,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,May,ORANG TUA,3.000.001 - 5.000.000,Y
SMK AKUNTANSI,KABUPATEN KETAPANG,May,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KOTA PONTIANAK,May,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SAMBAS,May,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,May,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN BENGKAYANG,May,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,May,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SEKADAU,May,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA SINGKAWANG,May,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,May,ORANG TUA,3.000.001 - 5.000.000,Y
PAKET C,KABUPATEN KETAPANG,May,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN MELAWI,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,May,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN SAMBAS,May,ORANG TUA,1.500.001 - 2.000.000,N
SMK-MEKANIK,KABUPATEN SAMBAS,May,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN SAMBAS,May,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,May,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA SINGKAWANG,May,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN MEMPAWAH,May,ORANG TUA,1.500.001 - 2.000.000,N
MA IPS,KABUPATEN MEMPAWAH,May,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN MEMPAWAH,May,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SINTANG,May,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SINTANG,May,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,May,ORANG TUA,1.500.001 - 2.000.000,N
STM-LISTRIK,KOTA SINGKAWANG,May,ORANG TUA,3.000.001 - 5.000.000,Y
MA AGAMA,KOTA SINGKAWANG,May,ORANG TUA,1.000.001 - 1.500.000,N
MA IPS,KABUPATEN SINTANG,May,ORANG TUA,1.500.001 - 2.000.000,Y
STM-PERIKANAN,KABUPATEN KUBU RAYA,May,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KETAPANG,May,ORANG TUA,> 5.000.000,Y
SMK AKUNTANSI,KABUPATEN SINTANG,May,ORANG TUA,< 500.000,Y
SMK AKUNTANSI,KABUPATEN SINTANG,May,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,May,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA PONTIANAK,May,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN BENGKAYANG,May,TUGAS BELAJAR,< 500.000,N
SMA-IPS,KABUPATEN BENGKAYANG,May,ORANG TUA,< 500.000,N
